Nymphaea colorata	210225	566	Ncolorata	water lilly	v1.0	Zhejiang University	v1.2	JGI	unrestricted	92.5
Lupinus albus	3870	567	Lalbus	white lupine	r1	PeretLab	v1	PeretLab	unrestricted	95.0
Lotus japonicus	34305	571	Ljaponicus		Lj1.0	HAU	Lj1.0v1	HAU	unrestricted	96.7
Thuja plicata	3316	572	Tplicata	western red-cedar	v3	UBC	v3.1	JGI	restricted	84.5
Carya illinoinensis	32201	573	Cillinoinensis	pecan	v1.0	HA	v1.1	JGI	restricted	97.8
Schrenkiella parvula	98039	574	Sparvula		v2.0	LSU	v2.2	LSU	unrestricted	96.8
Spinacia oleracea	3562	575	Soleracea	spinach	Spov3	UCD	Spov3	UCD	restricted	83.9
Brachypodium mexicanum	52141	577	Bmexicanum		v1.0	JGI	v1.1	JGI	restricted	99.5
Phaseolus acutifolius	33129	580	Pacutifolius	tepary bean	v1.0	MSU	v1.0	MSU	restricted	94.7
Phaseolus acutifolius WLD	33129	581	PacutifoliusWLD	tepary bean	v2.0	MSU	v2.0	MSU	restricted	95.8
Diptychocarpus strictus	359840	582	Dstrictus		v2.0	JGI	v2.1	JGI	restricted	94.6
Myagrum perfoliatum	359867	583	Mperfoliatum	bird's eye cress	v2.0	JGI	v2.1	JGI	restricted	98.5
Sinapis alba	3728	584	Salba	white mustard	v3.0	JGI	v3.1	JGI	restricted	98.1
Cleome violacea	389490	585	Cviolacea	spider plant	v2.0	JGI	v2.1	JGI	restricted	98.1
Acorus americanus	263995	586	Aamericanus	sweetflag	v1.0	JGI	v1.1	JGI	restricted	94.2
Joinvillea ascendens	38723	587	Jascendens	`ohe	v1.0	JGI	v1.1	JGI	restricted	98.0
Carya illinoinensis Pawnee	32201	588	CillinoinensisPawnee	pecan	v1.0	HA	v1.1	JGI	restricted	95.9
Selaginella moellendorffii	88036	91	Smoellendorffii	spikemoss	v1	JGI	v1.0	JGI	unrestricted	61.8
